n,thresholdModel,thresholdClass,Accuracy,logloss
19,0.9,0.5,0.765957446808511,0.450513683250613
19,0.95,0.5,0.765957446808511,0.450513683250613
19,1,0.5,0.765957446808511,0.450513683250613
20,0.05,0.5,0.808510638297872,0.443021856171486
20,0.1,0.5,0.74468085106383,0.432845831590579
20,0.15,0.5,0.765957446808511,0.43325862754169
20,0.2,0.5,0.765957446808511,0.432236745821184
20,0.25,0.5,0.74468085106383,0.431482514176428
20,0.3,0.5,0.74468085106383,0.431482514176428
20,0.35,0.5,0.787234042553192,0.441054673550516
20,0.4,0.5,0.787234042553192,0.441054673550516
20,0.45,0.5,0.787234042553192,0.441054673550516
20,0.5,0.5,0.787234042553192,0.441054673550516
20,0.55,0.5,0.787234042553192,0.441054673550516
20,0.6,0.5,0.787234042553192,0.441054673550516
20,0.65,0.5,0.787234042553192,0.441054673550516
20,0.7,0.5,0.787234042553192,0.441054673550516
20,0.75,0.5,0.765957446808511,0.449909273385547
20,0.8,0.5,0.765957446808511,0.449909273385547
20,0.85,0.5,0.765957446808511,0.449909273385547
20,0.9,0.5,0.765957446808511,0.449909273385547
20,0.95,0.5,0.765957446808511,0.449909273385547
20,1,0.5,0.765957446808511,0.449909273385547
21,0.05,0.5,0.829787234042553,0.447236695991642
21,0.1,0.5,0.808510638297872,0.427862562657099
21,0.15,0.5,0.787234042553192,0.427809568330383
21,0.2,0.5,0.765957446808511,0.428005546054255
21,0.25,0.5,0.74468085106383,0.429649614155826
21,0.3,0.5,0.765957446808511,0.42364978958409
21,0.35,0.5,0.829787234042553,0.417837773077121
21,0.4,0.5,0.808510638297872,0.421656353074223
21,0.45,0.5,0.808510638297872,0.421656353074223
21,0.5,0.5,0.808510638297872,0.421656353074223
21,0.55,0.5,0.808510638297872,0.42491854271323
21,0.6,0.5,0.808510638297872,0.426731664192466
21,0.65,0.5,0.787234042553192,0.428017032602412
21,0.7,0.5,0.74468085106383,0.447773286315791
21,0.75,0.5,0.74468085106383,0.447773286315791
21,0.8,0.5,0.74468085106383,0.447773286315791
21,0.85,0.5,0.74468085106383,0.455683343947448
21,0.9,0.5,0.74468085106383,0.455683343947448
21,0.95,0.5,0.74468085106383,0.455683343947448
21,1,0.5,0.74468085106383,0.455683343947448
22,0.05,0.5,0.765957446808511,0.428700096721368
22,0.1,0.5,0.74468085106383,0.431647439202188
22,0.15,0.5,0.74468085106383,0.431647439202188
22,0.2,0.5,0.74468085106383,0.436164062163655
22,0.25,0.5,0.74468085106383,0.436164062163655
22,0.3,0.5,0.74468085106383,0.436164062163655
22,0.35,0.5,0.765957446808511,0.445989479949287
22,0.4,0.5,0.765957446808511,0.445989479949287
22,0.45,0.5,0.765957446808511,0.445989479949287
22,0.5,0.5,0.765957446808511,0.454021405793391
22,0.55,0.5,0.765957446808511,0.454021405793391
22,0.6,0.5,0.765957446808511,0.466451591927223
22,0.65,0.5,0.765957446808511,0.466451591927223
22,0.7,0.5,0.765957446808511,0.466451591927223
22,0.75,0.5,0.765957446808511,0.466451591927223
22,0.8,0.5,0.787234042553192,0.476803858675495
22,0.85,0.5,0.787234042553192,0.476803858675495
22,0.9,0.5,0.765957446808511,0.481615608669159
22,0.95,0.5,0.765957446808511,0.481615608669159
