nodes,nTree,accuracy
48,10,0.741666666666667
49,10,0.727463312368973
50,10,0.732217573221757
51,10,0.740585774058577
52,10,0.722338204592902
53,10,0.73125
54,10,0.733333333333333
55,10,0.74375
56,10,0.734989648033126
57,10,0.744813278008299
58,10,0.742738589211618
59,10,0.746887966804979
60,10,0.744769874476987
61,10,0.744769874476987
62,10,0.744769874476987
63,10,0.747933884297521
64,10,0.747933884297521
65,10,0.74120082815735
66,10,0.74120082815735
67,10,0.72972972972973
68,10,0.763485477178423
69,10,0.742677824267782
70,10,0.720250521920668
71,10,0.720250521920668
72,10,0.724425887265136
73,10,0.724425887265136
74,10,0.742738589211618
75,10,0.726141078838174
76,10,0.726141078838174
77,10,0.711018711018711
78,10,0.711018711018711
79,10,0.726708074534162
80,10,0.726708074534162
81,10,0.731808731808732
82,10,0.716942148760331
83,10,0.716942148760331
84,10,0.716942148760331
85,10,0.716942148760331
86,10,0.742268041237113
87,10,0.739130434782609
88,10,0.75103734439834
89,10,0.725
90,10,0.730688935281837
91,10,0.743801652892562
92,10,0.733471074380165
93,10,0.733471074380165
94,10,0.733471074380165
95,10,0.733471074380165
96,10,0.726708074534162
97,10,0.726708074534162
98,10,0.714285714285714
99,10,0.714285714285714
100,10,0.714285714285714
1,11,0.670807453416149
2,11,0.678423236514523
3,11,0.713692946058091
4,11,0.705394190871369
5,11,0.702479338842975
6,11,0.734439834024896
7,11,0.706611570247934
8,11,0.725206611570248
9,11,0.705394190871369
10,11,0.706860706860707
11,11,0.729338842975207
12,11,0.709205020920502
13,11,0.736401673640167
14,11,0.736401673640167
15,11,0.730125523012552
16,11,0.725
17,11,0.728601252609603
18,11,0.736401673640167
19,11,0.742138364779874
20,11,0.71875
21,11,0.752083333333333
22,11,0.732776617954071
23,11,0.740585774058577
24,11,0.728601252609603
25,11,0.735849056603774
26,11,0.74321503131524
27,11,0.721413721413721
28,11,0.724066390041494
29,11,0.731656184486373
30,11,0.722916666666667
31,11,0.730688935281837
32,11,0.73125
33,11,0.745833333333333
34,11,0.733333333333333
35,11,0.733333333333333
36,11,0.733333333333333
37,11,0.746361746361746
38,11,0.752598752598753
39,11,0.738589211618257
40,11,0.724066390041494
41,11,0.717842323651452
42,11,0.756198347107438
43,11,0.738589211618257
44,11,0.760914760914761
45,11,0.73125
46,11,0.71875
47,11,0.7125
48,11,0.735966735966736
49,11,0.73125
50,11,0.741666666666667
51,11,0.74321503131524
52,11,0.721413721413721
53,11,0.742203742203742
54,11,0.730290456431535
55,11,0.750519750519751
56,11,0.737603305785124
57,11,0.744813278008299
58,11,0.746887966804979
59,11,0.745867768595041
60,11,0.739583333333333
61,11,0.745833333333333
62,11,0.74375
63,11,0.743801652892562
64,11,0.743801652892562
65,11,0.733471074380165
66,11,0.733471074380165
67,11,0.730290456431535
68,11,0.755693581780538
69,11,0.747916666666667
70,11,0.714583333333333
71,11,0.720833333333333
72,11,0.723492723492724
73,11,0.723492723492724
74,11,0.726708074534162
75,11,0.728778467908903
76,11,0.728778467908903
77,11,0.714285714285714
78,11,0.714285714285714
